ID,CoverageField2A,CoverageField4B,CoverageField11A,SalesField2B,SalesField8,SalesField13,PersonalField4A,PersonalField9,PersonalField13,PersonalField24,PersonalField29,PersonalField34,PersonalField39,PersonalField44,PersonalField49,PersonalField54,PersonalField59,PersonalField64,PersonalField69,PersonalField74,PersonalField79,PropertyField1A,PropertyField8,PropertyField12,PropertyField17,PropertyField21B,PropertyField26A,PropertyField39B,GeographicField3A,GeographicField5B,GeographicField8A,GeographicField10B,GeographicField13A,GeographicField15B,GeographicField18A,GeographicField20B,GeographicField23A,GeographicField25B,GeographicField28A,GeographicField30B,GeographicField33A,GeographicField35B,GeographicField38A,GeographicField40B,GeographicField43A,GeographicField45B,GeographicField48A,GeographicField50B,GeographicField53A,GeographicField55B,GeographicField58A,GeographicField60B,TARGET
6677,17,23,11,1,36474,0,7,3,2,0,2,1,0,0,0,0,0,0,0,0,0,2,1,4,1,23,13,11,16,13,2,25,2,15,-1,13,-1,12,6,8,13,13,3,11,3,23,16,5,17,16,14,18,0
311485,2,1,9,18,67076,0,16,2,2,0,3,1,0,1,0,0,0,0,0,1,0,14,0,4,1,1,6,19,12,21,5,25,5,16,-1,20,-1,6,2,6,5,5,5,17,10,14,20,16,20,8,14,17,0
414748,9,14,3,4,60818,0,23,1,2,0,3,1,0,1,0,0,0,0,0,1,0,9,1,4,1,15,8,18,5,13,2,25,2,5,-1,6,-1,14,15,13,17,20,16,8,5,2,22,19,15,10,8,6,1
376916,4,3,13,25,9851,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,7,1,4,1,4,17,25,13,24,14,25,15,23,-1,7,-1,4,15,11,5,5,5,11,22,19,9,16,16,18,13,17,0
261566,12,19,2,23,7528,0,19,3,2,0,3,1,0,1,0,0,0,0,0,1,0,7,0,3,2,20,6,18,21,25,14,25,15,23,-1,7,-1,4,8,4,11,8,5,11,25,20,22,21,22,3,12,24,0
141602,10,16,7,12,57223,0,7,1,2,0,2,1,0,0,0,0,0,0,0,0,0,5,0,4,1,17,17,10,7,13,2,25,2,3,-1,5,-1,15,4,4,12,11,12,8,8,4,15,5,14,20,25,12,1
306391,11,17,3,7,56458,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,5,1,4,0,18,12,22,24,16,5,25,5,11,-1,20,-1,3,5,12,8,15,13,20,12,15,24,24,24,3,11,25,0
206764,5,7,5,25,8695,0,6,2,2,0,1,1,0,0,0,0,0,0,0,0,0,25,1,1,0,7,6,22,1,18,6,25,5,17,-1,25,-1,19,9,24,4,25,9,17,10,9,1,20,1,20,16,5,0
356720,3,3,7,22,10213,0,19,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,0,3,11,23,6,14,24,25,24,24,-1,16,-1,18,10,19,4,12,12,24,11,11,6,8,17,14,11,5,0
1672,13,20,5,8,17826,0,12,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,1,2,2,20,18,5,13,13,2,25,2,4,-1,12,-1,16,8,13,12,14,6,4,2,22,20,21,21,8,20,19,0
252721,6,8,5,19,52845,0,12,2,2,0,2,1,0,0,0,0,0,0,0,0,0,6,0,4,1,9,4,24,8,22,18,25,19,25,-1,7,25,18,6,8,3,2,5,24,1,15,6,10,15,14,19,5,0
133980,11,17,6,11,51875,0,12,1,2,0,2,1,0,0,0,0,0,0,0,0,0,8,1,4,0,18,6,7,13,13,2,25,2,2,-1,2,-1,20,4,18,13,25,11,2,7,5,15,7,16,15,6,15,1
198762,5,7,11,15,65528,0,11,2,2,0,1,1,0,0,0,0,0,0,0,0,0,22,0,1,0,7,6,13,13,16,6,25,5,17,-1,25,-1,19,9,21,4,14,14,18,11,10,17,4,23,3,1,17,1
322951,8,12,4,17,12914,0,1,3,2,0,3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,12,17,17,4,13,11,25,11,19,-1,1,-1,1,6,23,4,12,17,22,14,6,15,1,20,8,11,3,0
5470,7,10,4,18,41707,0,16,2,2,0,1,1,0,0,0,0,0,0,0,0,0,16,1,2,1,11,6,19,3,13,10,25,9,13,-1,14,-1,17,7,19,7,20,8,13,11,13,15,7,15,18,7,2,0
184275,20,24,1,18,23716,0,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,4,1,4,1,24,16,13,20,23,14,25,15,22,-1,3,-1,10,4,1,14,5,3,1,22,17,17,18,21,5,9,19,0
246124,11,17,3,19,34968,0,4,2,2,0,2,1,0,0,0,0,0,0,0,0,0,2,0,4,0,18,21,14,23,24,14,25,15,22,-1,6,-1,4,1,1,11,10,1,10,20,17,19,17,22,2,9,21,0
89749,3,2,7,17,32124,0,15,3,2,0,2,1,0,0,0,0,0,0,0,0,0,8,1,2,0,3,12,24,10,13,2,25,2,6,-1,12,-1,11,9,8,8,15,6,11,4,23,14,5,17,13,11,6,0
69323,8,12,4,17,14901,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,12,0,1,0,13,6,14,4,21,5,25,5,11,-1,22,-1,8,13,24,14,25,22,20,12,18,9,10,1,25,11,6,0
377584,9,21,7,20,56393,0,7,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,1,15,10,22,23,24,14,25,15,22,-1,7,-1,10,4,1,9,4,4,11,23,19,10,12,15,14,9,16,0
